dataset_id,title,source,doi,publication,material_family,material_subclass,surface_finish,condition_or_wear,manufacturer_or_batch,specimen_count,patch_count,field_of_view_x,field_of_view_y,lateral_resolution_x,lateral_resolution_y,vertical_resolution,instrument,file_format,coordinate_unit,height_unit,raw_or_processed,contains_absolute_scale,contains_height_map,contains_point_cloud,contains_mesh,license,access_method,direct_download,login_required,author_request_required,suitability_for_calibration,suitability_for_pipeline_test,known_limitations,evidence,checked_date
mendeley_hcgcnm269w_v2_p40,Sandpaper Wind Turbine Blade Benchmark Dataset - P40,Mendeley Data,10.17632/hcgcnm269w.2,unknown,sandpaper,FEPA P40,abrasive paper mounted on blade replica,wear state unknown,unknown,1,1,9.672936120 mm node span,1.007824500 mm node span,1.08954 um,1.08954 um,unknown,Hirox RH-2000,CSV,implicit regular grid,um,Hirox ground-truth export; preprocessing unknown,true,true,false,false,CC BY 4.0,public API and fixed direct file URL,true,false,false,conditional after leveling ROI and instrument-QC,true,single patch; no batch or abrasive manufacturer; vertical resolution and preprocessing are not stated,https://data.mendeley.com/datasets/hcgcnm269w/2 | data/catalog/sandpaper_hcgcnm269w_v2_probe.json,2026-07-29
mendeley_hcgcnm269w_v2_p60,Sandpaper Wind Turbine Blade Benchmark Dataset - P60,Mendeley Data,10.17632/hcgcnm269w.2,unknown,sandpaper,FEPA P60,abrasive paper mounted on blade replica,wear state unknown,unknown,1,1,12.207206160 mm node span,0.995839560 mm node span,1.08954 um,1.08954 um,unknown,Hirox RH-2000,CSV,implicit regular grid,um,Hirox ground-truth export; preprocessing unknown,true,true,false,false,CC BY 4.0,public API and fixed direct file URL,true,false,false,conditional after leveling ROI and instrument-QC,true,single patch; no batch or abrasive manufacturer; vertical resolution and preprocessing are not stated,https://data.mendeley.com/datasets/hcgcnm269w/2 | data/catalog/sandpaper_hcgcnm269w_v2_probe.json,2026-07-29
mendeley_hcgcnm269w_v2_p80,Sandpaper Wind Turbine Blade Benchmark Dataset - P80,Mendeley Data,10.17632/hcgcnm269w.2,unknown,sandpaper,FEPA P80,abrasive paper mounted on blade replica,wear state unknown,unknown,1,unknown,unknown,unknown,unknown,unknown,unknown,Hirox RH-2000 advertised; CSV not located,Canon images; advertised ground-truth CSV not present in public inventory,unknown,unknown,unknown,unknown,unknown,false,false,CC BY 4.0,public dataset files,true,false,false,no until raw height file is located and verified,true for access-path tests only,dataset description says every grit has ground truth but the 127-file public API inventory has no P80.csv; do not infer P80 from neighboring grit numbers,https://data.mendeley.com/datasets/hcgcnm269w/2 | https://data.mendeley.com/public-api/datasets/hcgcnm269w | data/catalog/sandpaper_hcgcnm269w_v2_probe.json,2026-07-29
mendeley_hcgcnm269w_v2_p100,Sandpaper Wind Turbine Blade Benchmark Dataset - P100,Mendeley Data,10.17632/hcgcnm269w.2,unknown,sandpaper,FEPA P100,abrasive paper mounted on blade replica,wear state unknown,unknown,1,1,10.263466800 mm node span,1.012182660 mm node span,1.08954 um,1.08954 um,unknown,Hirox RH-2000,CSV,implicit regular grid,um,Hirox ground-truth export; preprocessing unknown,true,true,false,false,CC BY 4.0,public API and fixed direct file URL,true,false,false,conditional after leveling ROI and instrument-QC,true,single patch; no batch or abrasive manufacturer; vertical resolution and preprocessing are not stated,https://data.mendeley.com/datasets/hcgcnm269w/2 | data/catalog/sandpaper_hcgcnm269w_v2_probe.json,2026-07-29
mendeley_hcgcnm269w_v2_p120,Sandpaper Wind Turbine Blade Benchmark Dataset - P120,Mendeley Data,10.17632/hcgcnm269w.2,unknown,sandpaper,FEPA P120,abrasive paper mounted on blade replica,wear state unknown,unknown,1,1,9.475729380 mm node span,1.008914040 mm node span,1.08954 um,1.08954 um,unknown,Hirox RH-2000,CSV,implicit regular grid,um,Hirox ground-truth export; preprocessing unknown,true,true,false,false,CC BY 4.0,public API and fixed direct file URL,true,false,false,conditional after leveling ROI and instrument-QC,true,single patch; no batch or abrasive manufacturer; vertical resolution and preprocessing are not stated,https://data.mendeley.com/datasets/hcgcnm269w/2 | data/catalog/sandpaper_hcgcnm269w_v2_probe.json,2026-07-29
mendeley_hcgcnm269w_v2_p180,Sandpaper Wind Turbine Blade Benchmark Dataset - P180,Mendeley Data,10.17632/hcgcnm269w.2,unknown,sandpaper,FEPA P180,abrasive paper mounted on blade replica,wear state unknown,unknown,1,1,10.609940520 mm node span,1.017630360 mm node span,1.08954 um,1.08954 um,unknown,Hirox RH-2000,CSV,implicit regular grid,um,Hirox ground-truth export; preprocessing unknown,true,true,false,false,CC BY 4.0,public API and fixed direct file URL,true,false,false,conditional after leveling ROI and instrument-QC,true,single patch; no batch or abrasive manufacturer; vertical resolution and preprocessing are not stated,https://data.mendeley.com/datasets/hcgcnm269w/2 | data/catalog/sandpaper_hcgcnm269w_v2_probe.json,2026-07-29
mendeley_hcgcnm269w_v2_p240,Sandpaper Wind Turbine Blade Benchmark Dataset - P240,Mendeley Data,10.17632/hcgcnm269w.2,unknown,sandpaper,FEPA P240,abrasive paper mounted on blade replica,wear state unknown,unknown,1,1,10.284168060 mm node span,1.015451280 mm node span,1.08954 um,1.08954 um,unknown,Hirox RH-2000,CSV,implicit regular grid,um,Hirox ground-truth export; preprocessing unknown,true,true,false,false,CC BY 4.0,public API and fixed direct file URL,true,false,false,conditional after leveling ROI and instrument-QC,true,single patch; strong global tilt and zero-valued border in unprocessed preview; no batch or manufacturer; vertical resolution unknown,https://data.mendeley.com/datasets/hcgcnm269w/2 | reports/terrain_phase01/p240_hirox_summary.json | data/catalog/sandpaper_hcgcnm269w_v2_probe.json,2026-07-29
surface_topography_challenge_zenodo_15341939,The Surface-Topography Challenge: A multi-laboratory benchmark study to advance the characterization of topography,Zenodo and contact.engineering,10.5281/zenodo.15341939,10.1007/s11249-025-02014-y,coated silicon,CrN-coated silicon wafer,two surfaces: smooth polished front and rough unpolished or etched back,as-distributed challenge samples,multiple wafer batches,2,2088 measurements,variable multi-scale,variable multi-scale,variable,variable,variable,153 participants and many instrument classes,native instrument files plus normalized NetCDF and metadata YAML,m in normalized files,m in normalized files,raw author submissions plus normalized digital surface twins,true,true,unknown,unknown,Zenodo record CC0; per-twin license files must be checked,direct Zenodo archives or contact.engineering,true,false,false,no for brick concrete or sandpaper calibration; yes as metrology cross-instrument evidence,true,not a target material; archives total tens of GB; per-contributor metadata and license vary,https://zenodo.org/records/15341939 | https://contact.engineering/challenge/,2026-07-29
contact_engineering_platform,contact.engineering published topography database,contact.engineering,unknown,10.1088/2051-672X/5/1/015008,multiple,multiple,multiple,multiple,multiple,unknown,unknown,variable,variable,variable,variable,variable,multiple,native files and normalized digital surface twins,variable,variable,raw and processed,true,true,unknown,unknown,per dataset,published-data web application and per-dataset download,unknown,unknown,false,conditional on finding target material with complete metadata,true,material coverage changes and licenses are dataset-specific; no verified target-material record was identified in this audit,https://contact.engineering/ui/dataset-list/ | https://contact.engineering/challenge/,2026-07-29
surface_topography_python,SurfaceTopography Python package,PyPI and GitHub,10.1088/2051-672X/5/1/015008,10.1088/2051-672X/10/3/035032,not_applicable,software,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,35+ metrology formats including NetCDF X3P OS3D XYZ NPY,declared by input,declared by input,software reader and analysis library,not_applicable,not_applicable,not_applicable,not_applicable,MIT,PyPI or GitHub,true,false,false,not a calibration dataset,true,not installed in the project environment during Phase 0-1; adding it is an ADR decision,https://pypi.org/project/SurfaceTopography/ | https://github.com/ContactEngineering/SurfaceTopography,2026-07-29
