confirmation_id,case_id,design_id,nx,ny,needle_count,angle_profile,angle_deg,yaw_deg,mount,needle_model,spring_stiffness_N_per_m,preload_N,pitch_x_mm,pitch_y_mm,radius_um,body_diameter_mm,taper_length_mm,free_length_mm,nominal_spring_travel_mm,search_distance_mm,material_ids,terrains_per_material,detailed_terrains_per_material
F1,F1_P1,r100_a70_spring400_4x4_p5,4,4,16,uniform,70,0,spring,rigid,400,1,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F1,F1_P2,r100_a70_spring400_4x4_p5,4,4,16,uniform,70,0,spring,rigid,400,2,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F2,F2_P1,r100_a70_spring2000_4x4_p5,4,4,16,uniform,70,0,spring,rigid,2000,1,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F2,F2_P2,r100_a70_spring2000_4x4_p5,4,4,16,uniform,70,0,spring,rigid,2000,2,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F3,F3_P1,r100_a70_spring2000_2x2_p5,2,2,4,uniform,70,0,spring,rigid,2000,1,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F4,F4_P1,r100_a50_spring400_2x2_p5,2,2,4,uniform,50,0,spring,rigid,400,1,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F5,F5_P1,r100_a50_spring400_4x4_p5,4,4,16,uniform,50,0,spring,rigid,400,1,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F6,F6_P1,r100_a50_spring400_5x5_p5,5,5,25,uniform,50,0,spring,rigid,400,1,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F7,F7_P1,r100_a80_spring800_5x2_p5,5,2,10,uniform,80,0,spring,rigid,800,1,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F7,F7_P2,r100_a80_spring800_5x2_p5,5,2,10,uniform,80,0,spring,rigid,800,2,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F8,F8_P1,r100_a80_spring400_5x2_p5,5,2,10,uniform,80,0,spring,rigid,400,1,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F8,F8_P2,r100_a80_spring400_5x2_p5,5,2,10,uniform,80,0,spring,rigid,400,2,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F9,F9_P1,r100_a80_spring2000_5x2_p5,5,2,10,uniform,80,0,spring,rigid,2000,1,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F9,F9_P2,r100_a80_spring2000_5x2_p5,5,2,10,uniform,80,0,spring,rigid,2000,2,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F10,F10_P1,r100_a80_spring800_2x5_p5,2,5,10,uniform,80,0,spring,rigid,800,1,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F10,F10_P2,r100_a80_spring800_2x5_p5,2,5,10,uniform,80,0,spring,rigid,800,2,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F11,F11_P1,r100_a70_spring800_5x2_p5,5,2,10,uniform,70,0,spring,rigid,800,1,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
F11,F11_P2,r100_a70_spring800_5x2_p5,5,2,10,uniform,70,0,spring,rigid,800,2,5,5,100,1,2,4,4,10,P240;P100;P40;fired_brick_standard;rough_wall,1000,20
