design_id,group,radius_um,body_diameter_mm,taper_length_mm,mount,spring_stiffness_N_per_m,angle_profile,angle_deg,toe_angle_deg,heel_angle_deg,nx,ny,needle_count,pitch_x_mm,pitch_y_mm,yaw_deg,free_length_rule,nominal_spring_travel_mm,primary_surface_set,primary_preloads_N,additional_large_surface_reference,additional_large_preloads_N,material_count,surface_realizations_per_material,exists_in_coarse_design_table,primary_role,additional_large_realizations_per_material,additional_large_role
r100_a60_spring400_2x2_p5,core,100,1,2,spring,400,uniform,60,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a60_spring1000_2x2_p5,core,100,1,2,spring,1000,uniform,60,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a60_spring2000_2x2_p5,core,100,1,2,spring,2000,uniform,60,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a60_spring3500_2x2_p5,core,100,1,2,spring,3500,uniform,60,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,False,screening,,
r100_a60_spring5000_2x2_p5,core,100,1,2,spring,5000,uniform,60,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a70_spring400_2x2_p5,core,100,1,2,spring,400,uniform,70,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a70_spring1000_2x2_p5,core,100,1,2,spring,1000,uniform,70,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a70_spring2000_2x2_p5,core,100,1,2,spring,2000,uniform,70,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a70_spring3500_2x2_p5,core,100,1,2,spring,3500,uniform,70,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,False,screening,,
r100_a70_spring5000_2x2_p5,core,100,1,2,spring,5000,uniform,70,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a80_spring400_2x2_p5,core,100,1,2,spring,400,uniform,80,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a80_spring1000_2x2_p5,core,100,1,2,spring,1000,uniform,80,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a80_spring2000_2x2_p5,core,100,1,2,spring,2000,uniform,80,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a80_spring3500_2x2_p5,core,100,1,2,spring,3500,uniform,80,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,False,screening,,
r100_a80_spring5000_2x2_p5,core,100,1,2,spring,5000,uniform,80,,,2,2,4,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a60_spring400_4x4_p5,core,100,1,2,spring,400,uniform,60,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a60_spring1000_4x4_p5,core,100,1,2,spring,1000,uniform,60,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a60_spring2000_4x4_p5,core,100,1,2,spring,2000,uniform,60,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a60_spring3500_4x4_p5,core,100,1,2,spring,3500,uniform,60,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,False,screening,,
r100_a60_spring5000_4x4_p5,core,100,1,2,spring,5000,uniform,60,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a70_spring400_4x4_p5,core,100,1,2,spring,400,uniform,70,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a70_spring1000_4x4_p5,core,100,1,2,spring,1000,uniform,70,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a70_spring2000_4x4_p5,core,100,1,2,spring,2000,uniform,70,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a70_spring3500_4x4_p5,core,100,1,2,spring,3500,uniform,70,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,False,screening,,
r100_a70_spring5000_4x4_p5,core,100,1,2,spring,5000,uniform,70,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a80_spring400_4x4_p5,core,100,1,2,spring,400,uniform,80,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a80_spring1000_4x4_p5,core,100,1,2,spring,1000,uniform,80,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a80_spring2000_4x4_p5,core,100,1,2,spring,2000,uniform,80,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a80_spring3500_4x4_p5,core,100,1,2,spring,3500,uniform,80,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,False,screening,,
r100_a80_spring5000_4x4_p5,core,100,1,2,spring,5000,uniform,80,,,4,4,16,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,False,,5,100,True,screening,,
r100_a60_spring400_5x5_p5,core,100,1,2,spring,400,uniform,60,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,True,screening,20,validation_reference
r100_a60_spring1000_5x5_p5,core,100,1,2,spring,1000,uniform,60,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,True,screening,20,validation_reference
r100_a60_spring2000_5x5_p5,core,100,1,2,spring,2000,uniform,60,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,True,screening,20,validation_reference
r100_a60_spring3500_5x5_p5,core,100,1,2,spring,3500,uniform,60,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,False,screening,20,validation_reference
r100_a60_spring5000_5x5_p5,core,100,1,2,spring,5000,uniform,60,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,True,screening,20,validation_reference
r100_a70_spring400_5x5_p5,core,100,1,2,spring,400,uniform,70,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,True,screening,20,validation_reference
r100_a70_spring1000_5x5_p5,core,100,1,2,spring,1000,uniform,70,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,True,screening,20,validation_reference
r100_a70_spring2000_5x5_p5,core,100,1,2,spring,2000,uniform,70,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,True,screening,20,validation_reference
r100_a70_spring3500_5x5_p5,core,100,1,2,spring,3500,uniform,70,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,False,screening,20,validation_reference
r100_a70_spring5000_5x5_p5,core,100,1,2,spring,5000,uniform,70,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,True,screening,20,validation_reference
r100_a80_spring400_5x5_p5,core,100,1,2,spring,400,uniform,80,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,True,screening,20,validation_reference
r100_a80_spring1000_5x5_p5,core,100,1,2,spring,1000,uniform,80,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,True,screening,20,validation_reference
r100_a80_spring2000_5x5_p5,core,100,1,2,spring,2000,uniform,80,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,True,screening,20,validation_reference
r100_a80_spring3500_5x5_p5,core,100,1,2,spring,3500,uniform,80,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,False,screening,20,validation_reference
r100_a80_spring5000_5x5_p5,core,100,1,2,spring,5000,uniform,80,,,5,5,25,5,5,0,uniform_4mm,4,expanded_small,0.5;1;2,True,0.5;1;2,5,100,True,screening,20,validation_reference
r100_a60_spring400_10x10_p5,core,100,1,2,spring,400,uniform,60,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a60_spring1000_10x10_p5,core,100,1,2,spring,1000,uniform,60,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a60_spring2000_10x10_p5,core,100,1,2,spring,2000,uniform,60,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a60_spring3500_10x10_p5,core,100,1,2,spring,3500,uniform,60,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a60_spring5000_10x10_p5,core,100,1,2,spring,5000,uniform,60,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a70_spring400_10x10_p5,core,100,1,2,spring,400,uniform,70,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a70_spring1000_10x10_p5,core,100,1,2,spring,1000,uniform,70,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a70_spring2000_10x10_p5,core,100,1,2,spring,2000,uniform,70,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a70_spring3500_10x10_p5,core,100,1,2,spring,3500,uniform,70,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a70_spring5000_10x10_p5,core,100,1,2,spring,5000,uniform,70,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a80_spring400_10x10_p5,core,100,1,2,spring,400,uniform,80,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a80_spring1000_10x10_p5,core,100,1,2,spring,1000,uniform,80,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a80_spring2000_10x10_p5,core,100,1,2,spring,2000,uniform,80,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a80_spring3500_10x10_p5,core,100,1,2,spring,3500,uniform,80,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a80_spring5000_10x10_p5,core,100,1,2,spring,5000,uniform,80,,,10,10,100,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a60_spring400_20x20_p5,core,100,1,2,spring,400,uniform,60,,,20,20,400,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a60_spring1000_20x20_p5,core,100,1,2,spring,1000,uniform,60,,,20,20,400,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a60_spring2000_20x20_p5,core,100,1,2,spring,2000,uniform,60,,,20,20,400,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
r100_a60_spring3500_20x20_p5,core,100,1,2,spring,3500,uniform,60,,,20,20,400,5,5,0,uniform_4mm,4,new_large,0.5;1;2;4;6;8;10,False,,5,20,False,validation,,
